City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Hilo,US,75.25,few clouds,19.7297,-155.09,Dolphin Bay Hotel
15,Rikitea,PF,76.3,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
16,Fare,PF,80.19,scattered clouds,-16.7,-151.0167,hôtel Maitai Lapita Village
19,Nouadhibou,MR,71.2,clear sky,20.931,-17.0347,Hotel valencia
28,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Page 63 hostel
30,Cidreira,BR,71.91,broken clouds,-30.1811,-50.2056,Hotel Castelo
33,Cape Coast,GH,80.89,broken clouds,5.1053,-1.2466,Mighty Victory Hotel
34,Bengkulu,ID,77.31,overcast clouds,-3.8004,102.2655,Dena Hotel
41,Ponta Do Sol,PT,72.01,scattered clouds,32.6667,-17.1,Estalagem Ponta do Sol
46,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti International Resort
47,Atuona,PF,77.95,light rain,-9.8,-139.0333,Pearl Resort
50,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
54,Payakumbuh,ID,70.93,overcast clouds,-0.2202,100.6308,Hotel Mangkuto
66,Alta Floresta,BR,77.5,overcast clouds,-9.8756,-56.0861,Villas Hotel
68,Mollendo,PE,74.7,broken clouds,-17.0231,-72.0147,Hostal California
70,Karratha,AU,74.77,overcast clouds,-20.7377,116.8463,Karratha International Hotel
78,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Grand Bel Air
80,Oussouye,SN,89.69,clear sky,12.485,-16.5469,Campement Alulum
83,Manakara,MG,76.51,light rain,-22.1333,48.0167,Hotel H1
87,Makakilo City,US,72.45,light rain,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
96,Pisco,PE,73.02,broken clouds,-13.7,-76.2167,La Portada
99,Maceio,BR,87.24,few clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
100,Tagusao,PH,79.3,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
103,Hithadhoo,MV,80.96,overcast clouds,-0.6,73.0833,Pebbles Inn
110,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Comfort Rooms
115,Isangel,VU,79.5,clear sky,-19.55,169.2667,Tanna Lodge
118,Yulara,AU,79.9,broken clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
122,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
125,Sao Filipe,CV,77.85,clear sky,14.8961,-24.4956,Bela Vista
127,Manokwari,ID,78.39,overcast clouds,-0.8667,134.0833,Hotel Arfak
130,Acapulco,MX,87.62,few clouds,16.8634,-99.8901,Hotel del Valle
131,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Central Hôtel
134,Vila Velha,BR,80.55,light rain,-20.3297,-40.2925,Hotel Prainha
136,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Hotel Hero
140,Inhambane,MZ,76.66,overcast clouds,-23.865,35.3833,Hotel de Inhambane
144,Faanui,PF,80.4,few clouds,-16.4833,-151.75,Oa Oa Lodge
150,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
156,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le Baril
160,Mar Del Plata,AR,78.84,few clouds,-38.0023,-57.5575,Nuevo Ostende
166,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,The Adventures Inn
171,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
173,Kapaa,US,75.18,clear sky,22.0752,-159.319,Pono Kai Resort
177,Caravelas,BR,81.34,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
188,Singaraja,ID,79.43,overcast clouds,-8.112,115.0882,Hotel Sentral
198,Broken Hill,AU,71.2,overcast clouds,-31.95,141.4333,Ibis Styles
199,Kulim,MY,80.13,overcast clouds,5.365,100.5618,Hotel Seri Malaysia
201,Cap Malheureux,MU,77.47,broken clouds,-19.9842,57.6142,Cape Garden
219,Padang,ID,77.05,heavy intensity rain,-0.9492,100.3543,losmen Surya
222,Touros,BR,82.36,clear sky,-5.1989,-35.4608,Pousada Atlântico
223,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
225,Bauru,BR,85.82,broken clouds,-22.3147,-49.0606,Fenícia
229,Corn Island,NI,80.58,broken clouds,12.1694,-83.0418,Sunrise Hotel
233,Conde,BR,85.46,few clouds,-7.2597,-34.9075,Paladino
236,Aden,YE,77.9,clear sky,12.7794,45.0367,فندق قصر الجزيرة
240,Kavieng,PG,80.67,moderate rain,-2.5744,150.7967,Kavieng Hotel
249,Maxixe,MZ,75.74,overcast clouds,-23.8597,35.3472,Hotel Herry
252,Quelimane,MZ,75.15,moderate rain,-17.8786,36.8883,Mabassa
254,Camana,PE,75.47,scattered clouds,-16.6228,-72.7111,Caja Arequipa
259,Palu,ID,74.97,overcast clouds,-0.8917,119.8707,Ujung Pandang Hotel
261,Todos Santos,MX,81.05,clear sky,23.45,-110.2167,Hotel Casa Tota
262,Saint-Paul,RE,77.11,light rain,-21.0096,55.2707,Hôtel d'application
277,Necochea,AR,78.48,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
284,Kahului,US,76.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
286,Sabang,ID,80.26,overcast clouds,5.8933,95.3214,Sabang Hill
295,Leisure City,US,80.02,scattered clouds,25.4954,-80.4292,Uptown Suites Extended Stay Miami FL - Homestead
300,Tutoia,BR,82.51,overcast clouds,-2.7619,-42.2744,Pousada San Vicente
302,Namatanai,PG,78.85,overcast clouds,-3.6667,152.4333,Namatanai Hotel
305,Lorengau,PG,80.26,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
309,Quatre Cocos,MU,77.09,scattered clouds,-20.2078,57.7625,Horisun
313,Kununurra,AU,75.18,moderate rain,-15.7667,128.7333,Kununurra Country Club Resort
318,Anloga,GH,81.7,scattered clouds,5.7947,0.8973,Hotel de White House
322,Mogadishu,SO,78.8,few clouds,2.0371,45.3438,SYL Hotel
323,Puerto Carreno,CO,87.78,broken clouds,6.189,-67.4859,Carreño Plaza
327,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,Ibis Styles
328,Honiara,SB,76.96,scattered clouds,-9.4333,159.95,King Solomon Hotel
332,Marsh Harbour,BS,73.13,overcast clouds,26.5412,-77.0636,Lofty Fig Villas
334,Port Blair,IN,82.44,haze,11.6667,92.75,Andaman Ocean Breeze
338,Moroto,UG,73.18,scattered clouds,2.5345,34.6666,Shalosa Hotel
352,Rocha,UY,79.47,clear sky,-34.4833,-54.3333,Hotel Municipal
353,Prado,BR,79.88,clear sky,-17.3411,-39.2208,Pousada Recanto do Prado
357,San Cristobal,VE,77.18,few clouds,7.7669,-72.225,Terra Sur
358,Pathein,MM,72.09,few clouds,16.7833,94.7333,Taan Taan Ta
360,Vao,NC,73.98,overcast clouds,-22.6667,167.4833,Nataiwatch
361,Takoradi,GH,80.33,overcast clouds,4.8845,-1.7554,Hillcrest
362,Ribeira Brava,PT,71.71,scattered clouds,32.65,-17.0667,Cheerfulway Bravamar Hotel
363,Batticaloa,LK,77.43,heavy intensity rain,7.7102,81.6924,Lake View Hotel
364,Lima,PE,73.65,broken clouds,-12.0432,-77.0282,Hotel Peach Garden
365,Itarema,BR,83.55,overcast clouds,-2.9248,-39.9167,Pousada Oásis
368,Mana,GF,81.55,broken clouds,5.6592,-53.7767,Le Samana
