City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kaitangata,NZ,-46.2817,169.8464,50.43,77,100,6.71,overcast clouds
1,Clyde River,CA,70.4692,-68.5914,-10.97,84,100,3.44,overcast clouds
2,San Quintin,MX,30.4833,-115.95,62.89,45,100,6.22,overcast clouds
3,Caxias,PT,38.7031,-9.2767,63.91,79,40,9.22,scattered clouds
4,Port Elizabeth,ZA,-33.918,25.5701,64.69,74,20,9.22,few clouds
5,Bluff,NZ,-46.6,168.3333,50.32,74,69,11.7,broken clouds
6,Fengcheng,CN,40.4536,124.0717,20.68,97,100,2.33,light snow
7,Mataura,NZ,-46.1927,168.8643,48.83,80,99,3.11,overcast clouds
8,Pinczow,PL,50.5205,20.5265,34.61,90,100,5.32,overcast clouds
9,Leningradskiy,RU,69.3833,178.4167,-0.42,85,25,6.73,scattered clouds
10,Geraldton,AU,-28.7667,114.6,64.81,77,85,5.75,overcast clouds
11,Hilo,US,19.7297,-155.09,75.25,81,20,5.75,few clouds
12,Anadyr,RU,64.75,177.4833,27.1,80,33,49.21,scattered clouds
13,Esperance,AU,-33.8667,121.9,60.01,90,5,7.92,clear sky
14,Barrow,US,71.2906,-156.7887,-2.18,78,75,10.36,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,76.3,86,100,19.06,overcast clouds
16,Fare,PF,-16.7,-151.0167,80.19,76,36,16.4,scattered clouds
17,Punta Arenas,CL,-53.15,-70.9167,66.31,32,40,20.71,scattered clouds
18,Torbay,CA,47.6666,-52.7314,36.57,91,100,27.63,overcast clouds
19,Nouadhibou,MR,20.931,-17.0347,71.2,58,0,10.51,clear sky
20,Castro,BR,-24.7911,-50.0119,68.47,84,86,9.17,overcast clouds
21,Yellowknife,CA,62.456,-114.3525,-30.44,68,20,6.91,mist
22,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,94,100,9.22,light intensity drizzle
23,Albany,US,42.6001,-73.9662,32.65,65,12,1.01,few clouds
24,Hirado,JP,33.3597,129.5531,38.39,66,68,8.77,broken clouds
25,Jamestown,US,42.097,-79.2353,31.64,43,100,0.0,overcast clouds
26,Megion,RU,61.0296,76.1136,8.62,92,100,15.23,overcast clouds
27,San Patricio,US,28.017,-97.5169,58.87,81,56,15.14,broken clouds
28,Georgetown,MY,5.4112,100.3354,80.53,87,40,4.61,scattered clouds
29,Pevek,RU,69.7008,170.3133,15.3,56,2,10.2,clear sky
30,Cidreira,BR,-30.1811,-50.2056,71.91,83,71,14.79,broken clouds
31,Keuruu,FI,62.2667,24.7,28.8,96,100,8.52,light snow
32,Hamilton,US,39.1834,-84.5333,44.31,53,0,1.99,clear sky
33,Cape Coast,GH,5.1053,-1.2466,80.89,78,58,9.13,broken clouds
34,Bengkulu,ID,-3.8004,102.2655,77.31,90,100,4.56,overcast clouds
35,Lunenburg,CA,44.3835,-64.3155,40.08,84,100,23.02,overcast clouds
36,Tura,IN,25.5198,90.2201,60.01,78,34,2.93,scattered clouds
37,Thompson,CA,55.7435,-97.8558,-7.44,71,75,13.8,light snow
38,Port Macquarie,AU,-31.4333,152.9167,54.9,77,70,7.38,broken clouds
39,Asau,RO,46.4333,26.4,27.52,36,63,6.71,broken clouds
40,Kobryn,BY,52.2138,24.3564,33.58,91,99,10.54,overcast clouds
41,Ponta Do Sol,PT,32.6667,-17.1,72.01,89,49,3.42,scattered clouds
42,Sorland,NO,67.667,12.6934,33.66,91,100,17.76,light snow
43,Lasa,IT,46.6166,10.7002,36.48,70,70,1.19,broken clouds
44,Hermanus,ZA,-34.4187,19.2345,63.81,65,30,15.46,scattered clouds
45,Bonfim,BR,3.0833,-59.95,87.03,53,91,4.45,overcast clouds
46,Vaini,TO,-21.2,-175.2,77.16,100,20,5.75,few clouds
47,Atuona,PF,-9.8,-139.0333,77.95,82,24,21.94,light rain
48,Iranshahr,IR,27.2025,60.6848,61.14,27,0,6.91,clear sky
49,Ushuaia,AR,-54.8,-68.3,55.06,58,40,6.91,scattered clouds
50,Avarua,CK,-21.2078,-159.775,73.45,100,75,2.3,light rain
51,Vardo,NO,70.3705,31.1107,21.18,73,40,8.05,scattered clouds
52,Kieta,PG,-6.2167,155.6333,78.22,82,100,1.95,overcast clouds
53,Oranjemund,NA,-28.55,16.4333,64.4,83,0,19.55,clear sky
54,Payakumbuh,ID,-0.2202,100.6308,70.93,96,100,2.08,overcast clouds
55,Newport,GB,51.5877,-2.9984,47.77,87,91,8.99,overcast clouds
56,Olafsvik,IS,64.8945,-23.7142,31.12,70,90,44.18,overcast clouds
57,Busselton,AU,-33.65,115.3333,60.73,76,17,11.14,few clouds
58,Iqaluit,CA,63.7506,-68.5145,2.93,84,75,11.5,broken clouds
59,Batemans Bay,AU,-35.7167,150.1833,54.45,88,17,2.28,few clouds
60,Saldanha,ZA,-33.0117,17.9442,66.25,76,4,24.72,clear sky
61,Ous,RU,60.9058,61.5186,3.51,89,100,9.89,overcast clouds
62,Port Alfred,ZA,-33.5906,26.891,62.19,89,61,12.15,broken clouds
63,Skelleftea,SE,64.7507,20.9528,21.56,100,100,4.61,light snow
64,Marolambo,MG,-20.05,48.1167,72.79,98,100,0.6,light rain
65,Sembakung,ID,3.8167,117.25,74.19,99,100,1.72,moderate rain
66,Alta Floresta,BR,-9.8756,-56.0861,77.5,90,98,4.59,overcast clouds
