City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2022-12-19 19:00:00,-37.6167,-73.65,62.62,63,99,11.07
1,Mahebourg,MU,2022-12-19 19:00:00,-20.4081,57.7,78.26,78,40,3.44
2,Constantine,DZ,2022-12-19 19:00:01,36.365,6.6147,51.21,81,0,2.3
3,Hithadhoo,MV,2022-12-19 19:00:01,-0.6,73.0833,81.16,73,100,12.1
4,Panguna,PG,2022-12-19 19:00:06,-6.3164,155.4848,67.84,96,92,2.24
5,Khatanga,RU,2022-12-19 19:00:10,71.9667,102.5,-17.52,97,100,5.37
6,San Patricio,US,2022-12-19 19:00:14,28.017,-97.5169,57.06,91,100,12.88
7,Asau,RO,2022-12-19 19:00:16,46.4333,26.4,18.52,55,4,2.71
8,Gavrilovka Vtoraya,RU,2022-12-19 19:00:18,52.877,42.7663,21.18,92,96,12.33
9,Kaitangata,NZ,2022-12-19 19:00:20,-46.2817,169.8464,48.87,91,100,7.56
10,Nushki,PK,2022-12-19 19:00:21,29.5542,66.0215,44.22,52,0,1.86
11,Portland,US,2022-12-19 18:59:07,45.5234,-122.6762,41.61,86,100,1.99
12,Chuy,UY,2022-12-19 19:00:24,-33.6971,-53.4616,74.62,61,36,14.74
13,Cluses,FR,2022-12-19 19:00:25,46.0625,6.575,41.34,79,100,6.78
14,Cape Town,ZA,2022-12-19 18:57:40,-33.9258,18.4232,67.1,59,0,17.27
15,Saint Anthony,US,2022-12-19 19:00:28,45.0205,-93.218,12.29,82,100,10.36
16,Kapaa,US,2022-12-19 19:00:29,22.0752,-159.319,69.78,89,39,3.0
17,Kavieng,PG,2022-12-19 19:00:31,-2.5744,150.7967,80.01,80,100,4.54
18,Jamestown,US,2022-12-19 19:00:32,42.097,-79.2353,29.55,95,100,10.36
19,Kisangani,CD,2022-12-19 19:00:33,0.5167,25.2,71.08,97,100,2.06
20,Mehamn,NO,2022-12-19 19:00:36,71.0357,27.8492,30.15,74,40,8.05
21,Rikitea,PF,2022-12-19 19:00:37,-23.1203,-134.9692,77.02,83,100,18.28
22,Okhotsk,RU,2022-12-19 19:00:38,59.3833,143.3,3.29,78,100,21.88
23,Vanimo,PG,2022-12-19 19:00:40,-2.6741,141.3028,77.2,89,100,4.68
24,Gomel,BY,2022-12-19 19:00:01,52.4345,30.9754,2.41,97,25,5.08
25,Georgetown,MY,2022-12-19 19:00:40,5.4112,100.3354,78.73,87,20,8.05
26,Port Alfred,ZA,2022-12-19 19:00:41,-33.5906,26.891,67.17,86,100,1.99
27,Carnarvon,AU,2022-12-19 19:00:41,-24.8667,113.6333,72.91,84,0,7.72
28,Luderitz,NA,2022-12-19 19:00:42,-26.6481,15.1594,65.5,82,0,23.33
29,Itigi,TZ,2022-12-19 19:00:42,-5.7,34.4833,64.53,93,82,3.83
30,Cidreira,BR,2022-12-19 19:00:43,-30.1811,-50.2056,68.76,90,100,18.99
31,Barrow,US,2022-12-19 18:56:02,71.2906,-156.7887,2.23,97,100,5.21
32,Anyama,CI,2022-12-19 19:00:44,5.4946,-4.0518,79.61,69,69,6.8
33,Trairi,BR,2022-12-19 18:59:42,-3.2778,-39.2689,83.57,61,100,13.51
34,Bluff,NZ,2022-12-19 19:00:45,-46.6,168.3333,49.8,70,100,14.2
35,Tual,ID,2022-12-19 19:00:45,-5.6667,132.75,81.99,76,100,11.03
36,Davila,PH,2022-12-19 19:00:45,18.4726,120.5763,74.23,85,100,27.13
37,Mayfield,US,2022-12-19 19:00:46,36.7417,-88.6367,42.57,48,75,6.91
38,Albany,US,2022-12-19 18:59:16,42.6001,-73.9662,34.65,69,51,7.0
39,Cozumel,MX,2022-12-19 19:00:46,20.5083,-86.9458,84.07,71,17,7.0
40,Bethel,US,2022-12-19 18:56:08,41.3712,-73.414,39.02,60,31,13.0
41,Alofi,NU,2022-12-19 19:00:47,-19.0595,-169.9187,79.41,77,8,8.32
42,Torbay,CA,2022-12-19 19:00:47,47.6666,-52.7314,37.58,96,100,14.0
43,Adrano,IT,2022-12-19 19:00:48,37.6618,14.8348,50.7,91,0,3.13
44,Busselton,AU,2022-12-19 19:00:48,-33.65,115.3333,66.88,55,0,9.22
45,Darhan,MN,2022-12-19 19:00:49,49.4867,105.9228,1.09,98,100,3.98
46,Srednekolymsk,RU,2022-12-19 19:00:49,67.45,153.6833,-6.72,99,99,2.04
47,Imeni Babushkina,RU,2022-12-19 19:01:49,59.7573,43.1285,4.26,98,100,3.69
48,East London,ZA,2022-12-19 19:01:50,-33.0153,27.9116,68.54,78,99,10.38
49,Ushuaia,AR,2022-12-19 19:01:50,-54.8,-68.3,58.33,57,93,6.58
50,Iracoubo,GF,2022-12-19 19:01:50,5.4802,-53.2011,74.37,95,100,7.4
51,Destin,US,2022-12-19 18:59:00,30.3935,-86.4958,58.64,41,0,8.01
52,College,US,2022-12-19 19:01:51,64.8569,-147.8028,-23.42,74,13,2.75
53,Airai,TL,2022-12-19 19:01:51,-8.9266,125.4092,60.73,93,100,1.41
54,Pisco,PE,2022-12-19 19:01:51,-13.7,-76.2167,73.02,82,94,8.95
55,Vostok,RU,2022-12-19 19:01:52,46.4856,135.8833,-17.09,98,100,4.47
56,Pemangkat,ID,2022-12-19 19:01:52,1.1667,108.9667,76.71,89,86,5.66
57,Mataura,NZ,2022-12-19 19:01:52,-46.1927,168.8643,49.48,91,100,2.21
58,Faanui,PF,2022-12-19 19:01:53,-16.4833,-151.75,79.25,76,100,10.74
59,Butaritari,KI,2022-12-19 19:01:53,3.0707,172.7902,81.1,79,49,17.09
60,Cuencame,MX,2022-12-19 19:01:54,24.8711,-103.6964,71.62,14,0,8.97
61,Saskylakh,RU,2022-12-19 19:01:54,71.9167,114.0833,-5.89,98,100,9.26
62,Hermanus,ZA,2022-12-19 19:01:54,-34.4187,19.2345,61.81,73,100,5.53
63,Wonthaggi,AU,2022-12-19 19:01:54,-38.6044,145.5913,52.83,80,0,15.19
64,Ponta Do Sol,PT,2022-12-19 19:01:55,32.6667,-17.1,72.01,94,100,10.56
65,Atambua,ID,2022-12-19 19:01:55,-9.1061,124.8925,73.94,84,98,3.62
66,Kobryn,BY,2022-12-19 19:01:55,52.2138,24.3564,17.71,78,77,10.85
67,Saint-Philippe,RE,2022-12-19 19:01:56,-21.3585,55.7679,78.39,79,55,13.49
68,Lensk,RU,2022-12-19 19:01:56,60.7253,114.9278,-4.97,96,100,7.05
69,Punta Arenas,CL,2022-12-19 19:01:56,-53.15,-70.9167,62.11,36,97,18.37
70,Bambous Virieux,MU,2022-12-19 19:01:57,-20.3428,57.7575,78.22,83,40,1.14
71,Hobart,AU,2022-12-19 18:57:13,-42.8794,147.3294,52.05,87,40,0.0
72,Cockburn Town,TC,2022-12-19 19:01:57,21.4612,-71.1419,79.23,71,73,8.37
73,Bauta,CU,2022-12-19 19:01:57,22.9828,-82.5464,75.09,88,75,6.91
74,Atuona,PF,2022-12-19 19:01:58,-9.8,-139.0333,78.33,78,100,17.87
